,Price,Beds_Count,Baths_Count,Sq_Ft_Count,Address,Year Built Details,Roof,Property Sub Type,Attached Garage,Sewer,Attribution Contact,Possible Bedrooms,Fireplace,Cooling,Association Fee,Flooring,Window Features,Parking Features,Patio And Porch Features,Heating,Fencing
,"$1,450,000",4,5,4292,16 Princeville Ln,RESALE,Tile,Single Family Residence,Yes,Public Sewer,brian@thestandard.realestate,5,"eatures: Family Room, Gas, Primary Bedroom","Central Air, Electric", Frequency: Monthly,"Ceramic Tile, Laminate","Blinds, Double Pane Windows, Drapes, Low Emissivity Windows","Attached, Garage, Garage Door Opener, Inside Entrance","Balcony, Covered, Deck, Patio","Central, Gas","Block, Back Yard"
,"$675,000",4,2,2110,5834 Bluthe Bridge Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-763-1111,4,"eatures: Family Room, Gas","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Other",Blinds,"Attached, Epoxy Flooring, Garage, Garage Door Opener, Private",Patio,"Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$775,000",4,4,3604,5612 Lusitano St,RESALE,Tile,Single Family Residence,,Public Sewer,(702) 353-9160,4,,"Central Air, Electric, 2 Units",103,"Carpet, Tile","Blinds, Double Pane Windows","Garage Door Opener, Inside Entrance, RV Gated, RV Access/Parking, Shelves, Storage","Covered, Patio","Central, Gas, Multiple Heating Units, Zoned","Block, Back Yard"
,"$795,000",3,3,3042,1885 Chestnut Ln,RESALE,"Composition, Shingle",Single Family Residence,Yes,Public Sewer,nick@thelaymongroup.com,4,,"Central Air, Electric",,"Ceramic Tile, Laminate","Blinds, Double Pane Windows","Attached Carport, Attached, Garage, RV Potential, RV Paved","Covered, Patio","Central, Gas","Block, Back Yard"
,"$1,240,000",6,5,4124,8333 Corbett St,RESALE,Tile,Single Family Residence,Yes,Septic Tank,702-292-6788,7,"eatures: Family Room, Gas","Central Air, Electric, 2 Units",,"Carpet, Laminate, Tile","Double Pane Windows, Skylight(s)","Attached, Finished Garage, Garage, Inside Entrance, RV Gated, RV Access/Parking, RV Paved","Balcony, Covered, Patio","Central, Electric, Multiple Heating Units","Block, Back Yard"
,"$510,000",4,3,2289,7765 Royal Oaks Rd,RESALE,"Composition, Shingle, Tile",Single Family Residence,Yes,Public Sewer,Rob@RobLasVegas.com,5,"eatures: Family Room, Wood Burning","Attic Fan, Central Air, Electric, Refrigerated",,"Carpet, Ceramic Tile","Double Pane Windows, Drapes, Window Treatments","Attached, Garage, Golf Cart Garage, Garage Door Opener, Guest, Inside Entrance, Private, RV Potential, RV Gated, RV Access/Parking, RV Paved","Covered, Patio, Porch","Central, Gas","Block, Back Yard"
,"$815,000",2,4,2403,4223 Solace St,RESALE,Flat,Condominium,Yes,Public Sewer,702-252-7400,3,,"Central Air, Electric, ENERGY STAR Qualified Equipment", Frequency: Monthly,"Carpet, Ceramic Tile","Blinds, Double Pane Windows, Low Emissivity Windows, Plantation Shutters","Attached, Garage, Garage Door Opener, Inside Entrance, Private, Guest",Balcony,"Central, Electric",None
,"$352,000",3,3,1480,5699 Wind Dancer Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(404) 918-6515,3,,"Central Air, Electric",152,"Carpet, Tile",,"Attached, Garage",,"Central, Gas",None
,"$500,000",5,3,2210,1397 Lamplight Village Ln,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 277-9753,5,"eatures: Family Room, Gas","Central Air, Electric, 2 Units",120,"Carpet, Tile","Blinds, Window Treatments","Attached, Epoxy Flooring, Garage, Inside Entrance","Covered, Patio, Porch","Central, Gas","Block, Back Yard"
,"$1,005,000",4,4,2629,34 Brigola St,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,lifestyle201@gmail.com,5,,"Central Air, Electric", Frequency: Monthly,"Carpet, Ceramic Tile","Blinds, Double Pane Windows, Low Emissivity Windows, Window Treatments","Attached, Finished Garage, Garage, Garage Door Opener, Shelves","Covered, Patio","Central, Gas","Full, Wrought Iron"
,"$365,000",2,2,1386,2162 Tiger Links Dr,RESALE,"Composition, Shingle",Single Family Residence,Yes,Public Sewer,702-456-4500,2,,"Central Air, Electric",74,"Carpet, Tile",Blinds,"Attached, Garage",,"Central, Solar","Block, Back Yard"
,"$385,000",4,3,2108,2182 Bridle Wreath Ln,RESALE,Tile,Single Family Residence,Yes,Public Sewer,407-520-4761,4,"eatures: Family Room, Gas","Central Air, Electric",,"Ceramic Tile, Tile","Blinds, Double Pane Windows","Attached, Garage, RV Gated, RV Access/Parking",Patio,"Central, Gas","Block, Back Yard"
,"$360,000",4,3,1594,2719 Sunrise Day Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-436-6789,5,,"Central Air, Electric, 2 Units",25,"Ceramic Tile, Laminate",,"Attached, Garage",,"Central, Electric, Gas","Block, Back Yard"
,"$580,000",3,3,2494,9515 Harlan Hills Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-869-8888,4,,"Central Air, Electric, High Efficiency",108,"Carpet, Ceramic Tile","Drapes, Window Treatments","Attached, Garage, Tandem","Covered, Patio","Central, Gas","Block, Back Yard"
,"$320,000",None,1,None,145 E Harmon Ave Unit 3019,RESALE,,,,,(702) 858-7598,,,Electric,791,"Carpet, Tile","Drapes, Tinted Windows, Window Treatments",Guest,,"Central, Electric",
,"$330,000",3,2,1055,4053 Woodgreen Dr,RESALE,"Composition, Shingle",Single Family Residence,Yes,Public Sewer,725-203-3233,3,"eatures: Family Room, Gas","Central Air, Electric",,Laminate,,"Attached, Garage",,"Central, Gas","Brick, Back Yard"
,"$355,000",3,3,1269,1688 Summer Blush Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,,4,,"Central Air, Electric",102,"Carpet, Tile",,"Attached, Garage",,"Central, Gas","Block, Back Yard"
,"$420,000",4,3,2178,8561 Lost Gold Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 481-3933,4,"eatures: Family Room, Gas, Living Room, Multi-Sided","Central Air, Electric",,"Carpet, Tile",Window Treatments,"Attached, Garage","Covered, Patio","Central, Gas","Block, Back Yard"
,"$280,000",5,2,2094,5808 Fawn Ave,RESALE,"Composition, Pitched, Shingle",Single Family Residence,,Public Sewer,702-506-5905,6,"eatures: Family Room, Free Standing, Living Room","Central Air, Electric",,"Carpet, Linoleum, Tile, Vinyl",Blinds,"RV Potential, RV Access/Parking, RV Paved",,"Central, Electric","Block, Back Yard"
,"$480,000",4,3,1967,3606 Blue Dawn Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,814-450-6335,4,"eatures: Gas, Living Room","Central Air, Electric",,"Linoleum, Vinyl",,"Attached, Garage",,"Central, Gas","Block, Back Yard"
,"$275,000",3,3,1253,6324 Rolling Rose St Unit 101,RESALE,Tile,Condominium,Yes,Public Sewer,702-953-4999,3,,"Central Air, Electric",235,"Carpet, Ceramic Tile","Blinds, Double Pane Windows","Attached, Finished Garage, Garage, Garage Door Opener, Inside Entrance, Open, Guest",Patio,"Central, Gas","Block, Back Yard"
,"$352,000",2,2,1337,226 Kyland Cove Ave,RESALE,Tile,Townhouse,Yes,Public Sewer,vincentlv1@gmail.com,3,"eatures: Gas, Living Room","Central Air, Electric",105,"Carpet, Ceramic Tile, Tile","Blinds, Plantation Shutters","Attached, Garage, Garage Door Opener, Guest, Inside Entrance, Private","Covered, Patio","Central, Gas","Block, Back Yard"
,"$303,000",3,3,1562,4662 Color Up Ct Unit 103,RESALE,"Composition, Shingle",Townhouse,Yes,Public Sewer,702-310-6683,3,,"Central Air, Electric", Frequency: Monthly,"Carpet, Tile",Blinds,"Attached, Garage, Open, Private, Guest",,"Central, Gas","Block, Back Yard"
,"$570,000",4,3,2990,5140 Plymouth Bay Ct Unit 3,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-212-1900,5,"eatures: Electric, Family Room, Free Standing","Central Air, Electric",32,"Carpet, Laminate, Tile","Plantation Shutters, Window Treatments","Attached, Garage, Garage Door Opener, Inside Entrance, RV Potential, RV Gated",,"Central, Gas","Block, Back Yard"
,"$585,000",4,3,2476,5844 Ponderosa Verde Pl,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 755-3002,4,"eatures: Gas, Glass Doors, Living Room","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Laminate, Tile","Blinds, Drapes, Low Emissivity Windows","Attached, Garage, Garage Door Opener","Covered, Patio","Central, Gas, Multiple Heating Units","Brick, Back Yard"
,"$356,000",3,3,1550,6810 Briarwood Bend Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-545-6050,3,,"Central Air, Electric",48,"Carpet, Tile",,"Attached, Garage",,"Central, Gas","Back Yard, Vinyl"
,"$512,000",4,3,1853,6704 Trammel Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-262-9000,4,"eatures: Family Room, Gas","Central Air, Electric",,"Carpet, Laminate",,"Attached, Garage","Enclosed, Patio","Central, Gas","Block, Back Yard"
,"$145,000",2,1,None,3038 Tarpon Dr Unit 102,RESALE,Pitched,Condominium,,Public Sewer,702-235-7214,2,,"Central Air, Electric",245,Carpet,,"Assigned, Covered, Detached Carport, Guest",Balcony,"Central, Gas",None
,"$400,000",3,2,1350,3213 Oyster Bay St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-525-6319,3,"eatures: Gas, Glass Doors, Living Room","Central Air, Electric",92,"Carpet, Tile","Blinds, Double Pane Windows","Attached, Garage, Garage Door Opener, Inside Entrance, Open, Private, Shelves","Covered, Patio","Central, Gas, Solar","Block, Back Yard"
,"$305,000",2,2,1162,7450 S Eastern Ave Unit 1070,RESALE,Tile,Condominium,Yes,Public Sewer,702-493-5471,2,,"Central Air, Electric",214,"Carpet, Tile",Plantation Shutters,"Attached, Garage, Garage Door Opener, Private, Guest","Covered, Patio","Central, Gas",None
,"$379,000",3,3,1611,590 Brinkburn Point Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 236-2646,4,,"Central Air, Electric",51,"Carpet, Tile","Blinds, Double Pane Windows, Window Treatments","Attached, Finished Garage, Garage, Garage Door Opener","Balcony, Patio","Central, Gas","Block, Back Yard"
,"$599,900",3,2,2358,10328 Gilespie St Unit 1,RESALE,Tile,Single Family Residence,,Public Sewer,(702) 595-0025,4,"eatures: Family Room, Gas","Central Air, Electric, 2 Units",73,"Carpet, Ceramic Tile, Laminate","Blinds, Window Treatments","Epoxy Flooring, Finished Garage, Inside Entrance, Shelves","Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$510,000",3,2,2176,10612 Clarion Ln,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-236-4395,3,,"Central Air, Electric, 2 Units",138,"Carpet, Ceramic Tile, Hardwood","Blinds, Double Pane Windows, Drapes, Skylight(s), Window Treatments","Attached, Garage, Garage Door Opener, Inside Entrance, Private, Shelves","Covered, Patio","Central, Gas, Multiple Heating Units","Partial, Wrought Iron"
,"$512,500",4,4,2869,7241 Sierra Moon Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-296-9999,4,,"Electric, High Efficiency",225,"Hardwood, Linoleum, Vinyl",Blinds,"Attached, Garage",,"Gas, High Efficiency, Solar","Block, Back Yard"
,"$685,000",5,3,3496,8487 Benicasim Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-586-1616,7,"eatures: Gas, Living Room, Primary Bedroom","Central Air, Electric", Frequency: Quarterly,"Carpet, Tile","Plantation Shutters, Window Treatments","Attached, Garage, Inside Entrance","Balcony, Patio, Porch","Central, Gas","Block, Back Yard"
,"$195,000",1,None,None,2455 W Serene Ave Unit 620,RESALE,,,,,702-493-2886,1,,Electric,471,"Carpet, Tile","Blinds, Low Emissivity Windows","Assigned, Covered, Indoor, Guest",,"Central, Electric",
,"$345,000",2,2,1119,8709 Villa Ridge Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-461-2132,2,,"Central Air, Electric", Frequency: Monthly,"Ceramic Tile, Tile",Blinds,"Attached, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Central, Gas",None
,"$300,000",3,1,None,4401 Lorna Pl,RESALE,"Composition, Shingle",Single Family Residence,,Public Sewer,(702) 335-4602,3,,"Central Air, Electric",,"Laminate, Tile",Blinds,Attached Carport,"Covered, Patio","Central, Gas","Back Yard, Wood"
,"$1,190,000",5,4,3720,11004 Arbor Pine Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-550-9619,6,"eatures: Gas, Living Room","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Linoleum, Vinyl",,"Attached, Epoxy Flooring, Garage, Inside Entrance","Covered, Patio","Central, Gas","Block, Back Yard"
,"$217,000",3,2,1258,5448 Wellesley Dr,RESALE,Asphalt,Single Family Residence,,Public Sewer,702-435-7355,3,,"Central Air, Electric",,Other,,Attached Carport,"Covered, Patio","Central, Gas","Block, Back Yard"
,"$480,000",8,5,2911,4242 Tarkin Ave,RESALE,"Composition, Shingle",Single Family Residence,,Public Sewer,814-450-6335,8,,"Central Air, Electric",,"Linoleum, Vinyl",,,,"Central, Gas","Block, Back Yard"
,"$360,000",2,3,1601,2552 Silver Shadow Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-430-9599,3,"eatures: Family Room, Gas, Glass Doors","Central Air, Electric",75,"Carpet, Linoleum, Tile, Vinyl",Blinds,"Attached, Garage",Deck,"Central, Gas","Block, Back Yard"
,"$192,500",3,2,1068,920 N Sloan Ln Unit 204,RESALE,Tile,Condominium,No,Public Sewer,702-930-8408,3,"eatures: Family Room, Gas","Central Air, Electric",185,"Carpet, Tile",,"Detached, Garage, Guest",Balcony,"Central, Gas",None
,"$585,000",None,3,2002,11567 Desert Hollow Ave,NEW,Tile,Single Family Residence,Yes,Public Sewer,702-596-2040,1,,"Central Air, Electric", Frequency: Monthly,"Carpet, Ceramic Tile",Double Pane Windows,"Attached, Garage","Balcony, Covered, Patio","Gas, Zoned","Block, Back Yard"
,"$385,000",3,3,2003,3965 Jazzy Ginger Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-768-1115,4,,"Central Air, Electric, 2 Units",35,"Carpet, Ceramic Tile, Linoleum, Vinyl",Blinds,"Attached, Garage","Covered, Patio","Central, Gas","Block, Back Yard"
,"$420,000",4,3,2348,5942 Mabel Rd,RESALE,Tile,Single Family Residence,Yes,Public Sewer,,4,"eatures: Gas, Living Room","Central Air, Electric",156,"Carpet, Concrete, Linoleum, Tile, Vinyl",,"Attached, Garage","Covered, Patio",Electric,"Block, Back Yard"
,"$385,000",3,3,1969,5105 Backwoodsman Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,,4,,"Central Air, Electric",ncludes: Association Management,"Carpet, Laminate",Blinds,"Attached, Garage, Garage Door Opener",Patio,"Central, Gas","Block, Back Yard"
,"$269,900",4,2,2120,217 Jackson Ave,RESALE,"Composition, Shingle",Single Family Residence,,Public Sewer,702-732-7282,4,,"Central Air, Electric",,Ceramic Tile,Blinds,,,"Central, Gas","Full, Wrought Iron"
,"$530,000",5,3,2284,3140 Cooper Creek Dr,RESALE,Tile,Single Family Residence,,Public Sewer,(702) 408-5408,5,"eatures: Family Room, Gas","Central Air, Electric",48,"Carpet, Ceramic Tile","Blinds, Double Pane Windows","Air Conditioned Garage, Garage Door Opener, Open, Shelves, Storage",,"Central, Gas","Block, Back Yard"
,"$515,000",5,4,3140,9036 Cedar Door Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-727-1050,6,"eatures: Family Room, Gas","Central Air, Electric, 2 Units",70,"Carpet, Laminate",,"Attached, Garage, Inside Entrance","Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$250,000",None,None,None,0 Fisher St,,,,,,702-255-1145,,,,,,,,,,
,"$370,000",None,None,None,8175 Arville St Unit 385,,,,,Public Sewer,702-487-4045,,,,450,,,,,,
,"$345,500",3,2,1734,3105 Castlewood Dr,RESALE,Tile,Single Family Residence,,Public Sewer,702-845-9862,3,"eatures: Gas, Living Room","Central Air, Electric",,"Carpet, Laminate",,Garage Door Opener,"Enclosed, Patio","Central, Gas","Block, Back Yard"
,"$385,000",2,3,1598,1016 Coatbridge St,RESALE,Tile,Townhouse,Yes,Public Sewer,(702) 201-9482,2,,"Central Air, Electric", Frequency: Monthly,"Ceramic Tile, Linoleum, Vinyl","Blinds, Double Pane Windows","Attached, Garage, Guest, Private, Storage","Covered, Patio","Central, Gas","Block, Back Yard"
,"$665,000",4,3,2403,8412 Omar Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-479-0079,4,"eatures: Family Room, Gas","Central Air, Electric",,"Carpet, Ceramic Tile, Tile","Blinds, Double Pane Windows","Attached, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Central, Gas","Block, Back Yard"
,"$275,000",2,2,None,1109 Norma Joyce Ln,RESALE,"Composition, Pitched, Shingle, Tile",Single Family Residence,,Public Sewer,702-480-9742,2,"eatures: Living Room, Wood Burning","Central Air, Electric",168,"Carpet, Ceramic Tile",,Attached Carport,,"Central, Electric","Block, Back Yard"
,"$348,990",3,3,1319,7928 Fields Forever Ave Unit LOT 82,UNDER CONSTRUCTION,Tile,Townhouse,Yes,Public Sewer,702-635-3600,3,,"Central Air, Electric",89,"Carpet, Linoleum, Vinyl","Blinds, Double Pane Windows, Low Emissivity Windows, Window Treatments","Attached, Garage, Garage Door Opener, Inside Entrance, Private, Guest",,"Central, Electric",None
,"$569,888",3,3,2049,6925 Laurel Falls Ct,RESALE,Slate,Single Family Residence,Yes,Public Sewer,702-321-4702,4,,"Central Air, Electric", Frequency: Quarterly,"Carpet, Ceramic Tile","Double Pane Windows, Plantation Shutters, Window Treatments","Attached, Epoxy Flooring, Garage, Garage Door Opener","Covered, Patio","Central, Gas","Block, Back Yard"
,"$875,000",4,4,3489,547 Via Zaracoza Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-845-9862,5,,"Central Air, Electric, 2 Units",109,"Carpet, Ceramic Tile","Blinds, Double Pane Windows, Window Treatments","Attached, Garage, Private","Balcony, Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$335,000",3,2,1223,4663 Four Leaf Clover Dr,RESALE,"Composition, Shingle",Single Family Residence,Yes,Public Sewer,702-560-5792,3,,"Central Air, Electric",,Ceramic Tile,Blinds,"Attached, Garage, Inside Entrance",Patio,"Central, Gas","Block, Back Yard"
,"$205,000",2,2,1074,2116 Willowbury Dr Unit B,RESALE,Tile,Townhouse,,Public Sewer,702-480-9918,2,,"Central Air, Electric",200,"Carpet, Ceramic Tile, Tile",Blinds,"Assigned, Covered, Detached Carport",,"Central, Gas","Block, Partial"
,"$170,000",3,2,None,5653 Tahoe Dr,RESALE,"Composition, Shingle",Manufactured Home,,Public Sewer,protheroronny@gmail.com,3,"eatures: Gas, Living Room","Central Air, Electric",60,Ceramic Tile,"Blinds, Double Pane Windows, Window Treatments","Attached Carport, Guest",,"Central, Gas","Chain Link, Partial, Wrought Iron"
,"$392,000",3,3,1544,10007 Capistrello Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-499-9494,4,,"Central Air, Electric",45,"Carpet, Laminate, Linoleum, Vinyl","Blinds, Double Pane Windows","Attached, Garage, Garage Door Opener, Inside Entrance, Workshop in Garage","Patio, Porch","Central, Gas","Block, Back Yard"
,"$790,000",4,3,2760,2104 Springstead St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,randysellslv@gmail.com,5,"eatures: Family Room, Gas","Central Air, Electric", Frequency: Monthly,"Carpet, Laminate","Double Pane Windows, Plantation Shutters, Skylight(s), Window Treatments","Attached, Garage, Garage Door Opener, Inside Entrance","Balcony, Covered, Patio","Central, Gas","Block, Back Yard"
,"$420,000",3,3,1824,7691 Canyon Rain St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(510) 717-2351,4,,"Central Air, Electric",40,"Carpet, Tile",,"Attached, Epoxy Flooring, Finished Garage, Garage, Inside Entrance","Covered, Patio","Central, Gas","Block, Back Yard"
,"$635,000",3,3,2610,7271 Summer Duck Way,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-609-9624,4,"eatures: Gas, Living Room","Central Air, Electric, 2 Units", Frequency: Monthly,"Ceramic Tile, Laminate, Tile","Double Pane Windows, Plantation Shutters, Window Treatments","Attached, Garage, Garage Door Opener, Inside Entrance, Guest","Covered, Patio","Central, Electric, Multiple Heating Units","Block, Back Yard"
,"$985,000",6,5,5212,7389 Velvet Sky St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-809-4073,7,"eatures: Family Room, Gas","Central Air, Electric",105,"Linoleum, Vinyl",Low Emissivity Windows,"Attached, Epoxy Flooring, Garage, Garage Door Opener, Inside Entrance, RV Access/Parking, RV Paved, Storage","Balcony, Covered, Patio","Central, Gas","Block, Back Yard"
,"$500,000",4,3,2518,6325 Tomahawk Mill Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 285-7307,4,,"Central Air, Electric",35,"Carpet, Tile",,"Attached, Garage, Garage Door Opener, Inside Entrance",Patio,"Central, Gas","Brick, Back Yard"
,"$800,000",4,4,4043,5226 Villa Dante Ave Unit 4,RESALE,Tile,Single Family Residence,No,Public Sewer,(702) 235-9289,6,"eatures: Family Room, Gas, Living Room","Central Air, Electric", Frequency: Monthly,"Carpet, Tile",Plantation Shutters,"Detached, Garage, Garage Door Opener, Inside Entrance","Balcony, Covered, Patio","Central, Gas","Block, Back Yard"
,"$362,500",2,3,1699,5608 Calm Season St,RESALE,Tile,Townhouse,Yes,Public Sewer,cindy@cindyfindshomes.com,3,,"Central Air, Electric",130,"Carpet, Ceramic Tile","Low Emissivity Windows, Plantation Shutters","Attached, Garage, Guest, Private",Patio,"Central, Gas","Block, Back Yard"
,"$642,500",4,3,2902,9391 Arrowhead Bluff Ave,RESALE,Tile,Single Family Residence,,Public Sewer,DonnaSellsVegas@gmail.com,5,"eatures: Family Room, Gas","Central Air, Electric",93,Tile,Plantation Shutters,"Finished Garage, Garage Door Opener, Inside Entrance, Shelves","Covered, Patio","Central, Gas","Block, Back Yard"
,"$740,000",3,3,3358,351 Dakar St,RESALE,Tile,Single Family Residence,,Septic Tank,,3,"eatures: Bedroom, Gas, Living Room, Multi-Sided","Central Air, Electric, 2 Units",,"Carpet, Tile","Blinds, Double Pane Windows","Attached Carport, Exterior Access Door, Garage Door Opener, Inside Entrance, RV Access/Parking",Patio,"Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$460,000",3,3,2282,6158 Sweetbriar Ct,RESALE,"Composition, Shingle",Single Family Residence,Yes,Public Sewer,888-216-6364,4,"eatures: Living Room, Wood Burning","Central Air, Electric",,"Carpet, Ceramic Tile, Tile",,"Attached, Garage",Patio,"Central, Electric","Back Yard, Wood"
,"$363,000",3,3,1493,7577 Orchard Pine St,RESALE,Tile,Single Family Residence,No,Public Sewer,702-816-5555,3,,"Central Air, Electric",64,Laminate,Blinds,"Detached, Garage",,"Central, Gas","Full, Vinyl"
,"$340,000",4,3,1749,6320 Barrington Bridge Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,888-216-6364,5,,"Central Air, Electric",65,"Laminate, Linoleum, Tile, Vinyl",Double Pane Windows,"Attached, Garage","Balcony, Covered, Patio","Central, Gas","Block, Back Yard"
,"$460,000",3,3,2040,8612 Danza Del Sol Dr,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,cd@christopherdunson.com,4,"eatures: Family Room, Gas, Living Room","Central Air, Electric, 2 Units",60,"Carpet, Linoleum, Vinyl","Double Pane Windows, Plantation Shutters, Window Treatments","Attached, Garage","Deck, Patio, Porch","Gas, Multiple Heating Units, Zoned","Block, Back Yard, Stucco Wall"
,"$400,000",4,3,2069,3805 Kit Fox St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 600-5833,4,,"Central Air, Electric",69,"Linoleum, Vinyl",Blinds,"Attached, Garage, Inside Entrance",Patio,"Central, Gas","Block, Back Yard"
,"$805,000",2,2,1703,2724 Vista Butte Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-772-4995,3,,"Central Air, Electric",165,Other,Skylight(s),"Attached, Garage, Golf Cart Garage, Storage","Covered, Patio","Central, Gas",None
,"$340,000",3,2,1376,12130 Midnight Pine Rd Unit 2,RESALE,Tile,Townhouse,Yes,Public Sewer,A.jaimelv@gmail.com,3,,"Central Air, Electric",265,"Linoleum, Vinyl",,"Attached, Garage, Inside Entrance, Private, Guest",,"Central, Electric","Block, Back Yard"
,"$402,700",3,2,1672,540 Curtin Ct,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-776-6545,3,"eatures: Family Room, Gas, Glass Doors","Central Air, Electric",50,"Ceramic Tile, Laminate","Blinds, Double Pane Windows, Plantation Shutters","Attached, Garage, Garage Door Opener, Inside Entrance",Patio,"Central, Gas","Block, Back Yard"
,"$470,000",3,3,1730,7012 Bright Springs Ct,RESALE,"Pitched, Tile",Townhouse,Yes,Public Sewer,,3,"eatures: Gas, Living Room","Gas, High Efficiency", Frequency: Monthly,Laminate,"Blinds, Double Pane Windows, Window Treatments","Attached, Garage, Garage Door Opener, Inside Entrance, Private, Shelves, Guest",Patio,"Gas, High Efficiency",None
,"$490,000",4,3,1917,5886 Lewis Falls Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-256-4900,4,,"Central Air, Electric",45,"Carpet, Tile","Blinds, Double Pane Windows, Drapes","Attached, Garage",Porch,"Central, Gas","Block, Back Yard"
,"$469,900",3,3,1694,9724 Floweret Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-866-0086,3,"eatures: Gas, Great Room, Kitchen, Multi-Sided","Central Air, Electric", Frequency: Monthly,"Carpet, Ceramic Tile, Tile","Double Pane Windows, Plantation Shutters","Attached, Garage, Inside Entrance",Patio,"Central, Gas","Block, Back Yard"
,"$215,000",1,None,None,2121 Sealion Dr Unit 107,RESALE,Tile,Condominium,,Public Sewer,702-255-1145,1,,"Central Air, Electric", Frequency: Quarterly,Laminate,,"Assigned, Covered, Detached Carport",Balcony,"Central, Electric",None
,"$455,000",3,2,1725,500 Salzburg Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-435-7355,3,,"Central Air, Electric",29,Laminate,"Blinds, Double Pane Windows","Attached, Garage, Garage Door Opener","Patio, Porch","Central, Gas","Block, Back Yard"
,"$336,000",3,2,1314,4517 Bucking Bronco Rd,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 738-2825,3,,"Central Air, Electric",19,"Carpet, Laminate",,"Attached, Garage",,"Central, Gas","Block, Back Yard"
,"$315,000",1,None,None,4381 W Flamingo Rd Unit 3106,RESALE,,,,,702-333-4455,1,,Electric,552,,"Drapes, Low Emissivity Windows, Tinted Windows",,Terrace,"Central, Electric",
,"$2,750,000",4,5,3405,6064 Cliff View Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-586-0333,5,"eatures: Gas, Living Room","Central Air, Electric, ENERGY STAR Qualified Equipment, High Efficiency", Frequency: Monthly,"Carpet, Tile","Blinds, Double Pane Windows, Low Emissivity Windows","Attached, Garage","Covered, Patio","Central, Gas, High Efficiency","Block, Back Yard, Wrought Iron"
,"$255,000",3,2,1191,8600 W Charleston Blvd Unit 1174,RESALE,Tile,Condominium,,Public Sewer,702-783-7736,4,"eatures: Family Room, Gas","Central Air, Electric",235,Ceramic Tile,"Blinds, Insulated Windows","Assigned, Covered, Detached Carport, Guest",Patio,"Central, Gas","Block, Full"
